"","date","city","home_team","away_team","home_ft","away_ft","tournament","year","month","totalGoals","site"
"1","1872-11-30","Glasgow, Scotland","Scotland","England",0,0,"Friendly","1872","11",0,2
"2","1873-03-08","London, England","England","Scotland",4,2,"Friendly","1873","3",6,2
"3","1874-03-07","Glasgow, Scotland","Scotland","England",2,1,"Friendly","1874","3",3,2
"4","1875-03-06","London, England","England","Scotland",2,2,"Friendly","1875","3",4,2
"5","1876-03-04","Glasgow, Scotland","Scotland","England",3,0,"Friendly","1876","3",3,2
"6","1876-03-25","Glasgow, Scotland","Scotland","Wales",4,0,"Friendly","1876","3",4,1
"7","1877-03-03","London, England","England","Scotland",1,3,"Friendly","1877","3",4,2
"8","1877-03-05","Wrexham, Wales","Wales","Scotland",0,2,"Friendly","1877","3",2,2
"9","1878-03-02","Glasgow, Scotland","Scotland","England",7,2,"Friendly","1878","3",9,2
"10","1878-03-23","Glasgow, Scotland","Scotland","Wales",9,0,"Friendly","1878","3",9,2
"11","1879-01-18","London, England","England","Wales",2,1,"Friendly","1879","1",3,2
"12","1879-04-05","London, England","England","Scotland",5,4,"Friendly","1879","4",9,1
"13","1879-04-07","Wrexham, Wales","Wales","Scotland",0,3,"Friendly","1879","4",3,1
"14","1880-03-13","Glasgow, Scotland","Scotland","England",5,4,"Friendly","1880","3",9,2
"15","1880-03-15","Wrexham, Wales","Wales","England",2,3,"Friendly","1880","3",5,1
"16","1880-03-27","Glasgow, Scotland","Scotland","Wales",5,1,"Friendly","1880","3",6,1
"17","1881-02-26","Blackburn, England","England","Wales",0,1,"Friendly","1881","2",1,1
"18","1881-03-12","London, England","England","Scotland",1,6,"Friendly","1881","3",7,2
"19","1881-03-14","Wrexham, Wales","Wales","Scotland",1,5,"Friendly","1881","3",6,2
"20","1882-02-18","Belfast, Ireland","Northern Ireland","England",0,13,"Friendly","1882","2",13,1
"21","1882-02-25","Wrexham, Wales","Wales","Northern Ireland",7,1,"Friendly","1882","2",8,1
"22","1882-03-11","Glasgow, Scotland","Scotland","England",5,1,"Friendly","1882","3",6,2
"23","1882-03-13","Wrexham, Wales","Wales","England",5,3,"Friendly","1882","3",8,2
"24","1882-03-25","Glasgow, Scotland","Scotland","Wales",5,0,"Friendly","1882","3",5,2
"25","1883-02-03","London, England","England","Wales",5,0,"Friendly","1883","2",5,2
"26","1883-02-24","Liverpool, England","England","Northern Ireland",7,0,"Friendly","1883","2",7,2
"27","1883-03-10","Sheffield, England","England","Scotland",2,3,"Friendly","1883","3",5,1
"28","1883-03-12","Wrexham, Wales","Wales","Scotland",0,3,"Friendly","1883","3",3,1
"29","1883-03-17","Belfast, Ireland","Northern Ireland","Wales",1,1,"Friendly","1883","3",2,2
"30","1884-01-26","Belfast, Ireland","Northern Ireland","Scotland",0,5,"British Championship","1884","1",5,2
"31","1884-02-09","Wrexham, Wales","Wales","Northern Ireland",6,0,"British Championship","1884","2",6,2
"32","1884-02-23","Belfast, Ireland","Northern Ireland","England",1,8,"British Championship","1884","2",9,2
"33","1884-03-15","Glasgow, Scotland","Scotland","England",1,0,"British Championship","1884","3",1,1
"34","1884-03-17","Wrexham, Wales","Wales","England",0,4,"British Championship","1884","3",4,2
"35","1884-03-29","Glasgow, Scotland","Scotland","Wales",4,1,"British Championship","1884","3",5,2
"36","1885-02-28","Manchester, England","England","Northern Ireland",4,0,"British Championship","1885","2",4,2
"37","1885-03-14","Blackburn, England","England","Wales",1,1,"British Championship","1885","3",2,2
"38","1885-03-14","Glasgow, Scotland","Scotland","Northern Ireland",8,2,"British Championship","1885","3",10,2
"39","1885-03-21","London, England","England","Scotland",1,1,"British Championship","1885","3",2,1
"40","1885-03-23","Wrexham, Wales","Wales","Scotland",1,8,"British Championship","1885","3",9,1
"41","1885-04-11","Belfast, Ireland","Northern Ireland","Wales",2,8,"British Championship","1885","4",10,1
"42","1885-11-28","Newark, United States","USA","Canada",0,1,"Friendly","1885","11",1,2
"43","1886-02-27","Wrexham, Wales","Wales","Northern Ireland",5,0,"British Championship","1886","2",5,1
"44","1886-03-13","Belfast, Ireland","Northern Ireland","England",1,6,"British Championship","1886","3",7,1
"45","1886-03-20","Belfast, Ireland","Northern Ireland","Scotland",2,7,"British Championship","1886","3",9,1
"46","1886-03-27","Glasgow, Scotland","Scotland","England",1,1,"British Championship","1886","3",2,2
"47","1886-03-29","Wrexham, Wales","Wales","England",1,3,"British Championship","1886","3",4,2
"48","1886-04-10","Glasgow, Scotland","Scotland","Wales",4,1,"British Championship","1886","4",5,2
"49","1886-11-25","Newark, United States","USA","Canada",3,2,"Friendly","1886","11",5,1
"50","1887-02-05","Sheffield, England","England","Northern Ireland",7,0,"British Championship","1887","2",7,2
"51","1887-02-19","Glasgow, Scotland","Scotland","Northern Ireland",4,1,"British Championship","1887","2",5,1
"52","1887-02-26","London, England","England","Wales",4,0,"British Championship","1887","2",4,1
"53","1887-03-12","Belfast, Ireland","Northern Ireland","Wales",4,1,"British Championship","1887","3",5,1
"54","1887-03-19","Blackburn, England","England","Scotland",2,3,"British Championship","1887","3",5,1
"55","1887-03-21","Wrexham, Wales","Wales","Scotland",0,2,"British Championship","1887","3",2,1
"56","1888-02-04","Crewe, England","Wales","England",1,5,"British Championship","1888","2",6,1
"57","1888-03-03","Wrexham, Wales","Wales","Northern Ireland",11,0,"British Championship","1888","3",11,2
"58","1888-03-10","Edinburgh, Scotland","Scotland","Wales",5,1,"British Championship","1888","3",6,2
"59","1888-03-17","Glasgow, Scotland","Scotland","England",0,5,"British Championship","1888","3",5,1
"60","1888-03-24","Belfast, Ireland","Northern Ireland","Scotland",2,10,"British Championship","1888","3",12,2
"61","1888-04-07","Belfast, Ireland","Northern Ireland","England",1,5,"British Championship","1888","4",6,1
"62","1888-09-19","Glasgow, Scotland","Scotland","Canada",4,0,"Friendly","1888","9",4,2
"63","1889-02-23","Stoke-on-Trent, England","England","Wales",4,1,"British Championship","1889","2",5,1
"64","1889-03-02","Liverpool, England","England","Northern Ireland",6,1,"British Championship","1889","3",7,2
"65","1889-03-09","Glasgow, Scotland","Scotland","Northern Ireland",7,0,"British Championship","1889","3",7,1
"66","1889-04-13","London, England","England","Scotland",2,3,"British Championship","1889","4",5,2
"67","1889-04-15","Wrexham, Wales","Wales","Scotland",0,0,"British Championship","1889","4",0,2
"68","1889-04-27","Belfast, Ireland","Northern Ireland","Wales",1,3,"British Championship","1889","4",4,2
"69","1890-02-08","Shrewsbury, England","Wales","Northern Ireland",5,2,"British Championship","1890","2",7,1
"70","1890-03-15","Wrexham, Wales","Wales","England",1,3,"British Championship","1890","3",4,2
"71","1890-03-15","Belfast, Ireland","Northern Ireland","England",1,9,"British Championship","1890","3",10,1
"72","1890-03-22","Paisley, Scotland","Scotland","Wales",5,0,"British Championship","1890","3",5,1
"73","1890-03-29","Belfast, Ireland","Northern Ireland","Scotland",1,4,"British Championship","1890","3",5,2
"74","1890-04-05","Glasgow, Scotland","Scotland","England",1,1,"British Championship","1890","4",2,2
"75","1891-02-07","Belfast, Ireland","Northern Ireland","Wales",7,2,"British Championship","1891","2",9,2
"76","1891-03-07","Sunderland, England","England","Wales",4,1,"British Championship","1891","3",5,1
"77","1891-03-07","Wolverhampton, England","England","Northern Ireland",6,1,"British Championship","1891","3",7,1
"78","1891-03-21","Wrexham, Wales","Wales","Scotland",3,4,"British Championship","1891","3",7,2
"79","1891-03-28","Glasgow, Scotland","Scotland","Northern Ireland",2,1,"British Championship","1891","3",3,2
"80","1892-02-27","Bangor, Wales","Wales","Northern Ireland",1,1,"British Championship","1892","2",2,1
"81","1892-03-05","Wrexham, Wales","Wales","England",0,2,"British Championship","1892","3",2,1
"82","1892-03-05","Belfast, Ireland","Northern Ireland","England",0,2,"British Championship","1892","3",2,2
"83","1892-03-19","Belfast, Ireland","Northern Ireland","Scotland",2,3,"British Championship","1892","3",5,2
"84","1892-03-26","Edinburgh, Scotland","Scotland","Wales",6,1,"British Championship","1892","3",7,1
"85","1892-04-02","Glasgow, Scotland","Scotland","England",1,4,"British Championship","1892","4",5,1
"86","1893-02-25","Birmingham, England","England","Northern Ireland",6,1,"British Championship","1893","2",7,2
"87","1893-03-13","Stoke-on-Trent, England","England","Wales",6,0,"British Championship","1893","3",6,2
"88","1893-03-18","Wrexham, Wales","Wales","Scotland",0,8,"British Championship","1893","3",8,2
"89","1893-03-25","Glasgow, Scotland","Scotland","Northern Ireland",6,1,"British Championship","1893","3",7,2
"90","1893-04-01","Richmond, England","England","Scotland",5,2,"British Championship","1893","4",7,1
"91","1894-02-24","Swansea, Wales","Wales","Northern Ireland",4,1,"British Championship","1894","2",5,2
"92","1894-03-03","Belfast, Ireland","Northern Ireland","England",2,2,"British Championship","1894","3",4,2
"93","1894-03-12","Wrexham, Wales","Wales","England",1,5,"British Championship","1894","3",6,2
"94","1894-03-24","Kilmarnock, Scotland","Scotland","Wales",5,2,"British Championship","1894","3",7,2
"95","1894-03-31","Belfast, Ireland","Northern Ireland","Scotland",1,2,"British Championship","1894","3",3,1
"96","1894-04-07","Glasgow, Scotland","Scotland","England",2,2,"British Championship","1894","4",4,2
"97","1895-03-09","Derby, England","England","Northern Ireland",9,0,"British Championship","1895","3",9,2
"98","1895-03-16","Belfast, Ireland","Northern Ireland","Wales",2,2,"British Championship","1895","3",4,2
"99","1895-03-18","London, England","England","Wales",1,1,"British Championship","1895","3",2,1
"100","1895-03-23","Wrexham, Wales","Wales","Scotland",2,2,"British Championship","1895","3",4,1
"101","1895-03-30","Glasgow, Scotland","Scotland","Northern Ireland",3,1,"British Championship","1895","3",4,2
"102","1895-04-06","Liverpool, England","England","Scotland",3,0,"British Championship","1895","4",3,2
"103","1896-02-29","Wrexham, Wales","Wales","Northern Ireland",6,1,"British Championship","1896","2",7,2
"104","1896-03-07","Belfast, Ireland","Northern Ireland","England",0,2,"British Championship","1896","3",2,2
"105","1896-03-16","Cardiff, Wales","Wales","England",1,9,"British Championship","1896","3",10,2
"106","1896-03-21","Dundee, Scotland","Scotland","Wales",4,0,"British Championship","1896","3",4,2
"107","1896-03-28","Belfast, Ireland","Northern Ireland","Scotland",3,3,"British Championship","1896","3",6,1
"108","1896-04-04","Glasgow, Scotland","Scotland","England",2,1,"British Championship","1896","4",3,2
"109","1897-02-20","Nottingham, England","England","Northern Ireland",6,0,"British Championship","1897","2",6,1
"110","1897-03-06","Belfast, Ireland","Northern Ireland","Wales",4,3,"British Championship","1897","3",7,1
"111","1897-03-20","Wrexham, Wales","Wales","Scotland",2,2,"British Championship","1897","3",4,1
"112","1897-03-27","Glasgow, Scotland","Scotland","Northern Ireland",5,1,"British Championship","1897","3",6,2
"113","1897-03-29","Sheffield, England","England","Wales",4,0,"British Championship","1897","3",4,1
"114","1897-04-03","London, England","England","Scotland",1,2,"British Championship","1897","4",3,1
"115","1898-02-19","Llandudno, Wales","Wales","Northern Ireland",0,1,"British Championship","1898","2",1,1
"116","1898-03-05","Belfast, Ireland","Northern Ireland","England",2,3,"British Championship","1898","3",5,1
"117","1898-03-19","Motherwell, Scotland","Scotland","Wales",5,2,"British Championship","1898","3",7,1
"118","1898-03-26","Belfast, Ireland","Northern Ireland","Scotland",0,3,"British Championship","1898","3",3,1
"119","1898-03-28","Wrexham, Wales","Wales","England",0,3,"British Championship","1898","3",3,1
"120","1898-04-02","Glasgow, Scotland","Scotland","England",1,3,"British Championship","1898","4",4,1
"121","1899-02-18","Sunderland, England","England","Northern Ireland",13,2,"British Championship","1899","2",15,1
"122","1899-03-04","Belfast, Ireland","Northern Ireland","Wales",1,0,"British Championship","1899","3",1,1
"123","1899-03-18","Wrexham, Wales","Wales","Scotland",0,6,"British Championship","1899","3",6,2
"124","1899-03-20","Bristol, England","England","Wales",4,0,"British Championship","1899","3",4,2
"125","1899-03-25","Glasgow, Scotland","Scotland","Northern Ireland",9,1,"British Championship","1899","3",10,2
"126","1899-04-08","Birmingham, England","England","Scotland",2,1,"British Championship","1899","4",3,2
"127","1900-02-03","Aberdeen, Scotland","Scotland","Wales",5,2,"British Championship","1900","2",7,2
"128","1900-02-24","Llandudno, Wales","Wales","Northern Ireland",2,0,"British Championship","1900","2",2,2
"129","1900-03-03","Belfast, Ireland","Northern Ireland","Scotland",0,3,"British Championship","1900","3",3,2
"130","1900-03-17","Dublin, Ireland","Northern Ireland","England",0,2,"British Championship","1900","3",2,2
"131","1900-03-26","Cardiff, Wales","Wales","England",1,1,"British Championship","1900","3",2,2
"132","1900-04-07","Glasgow, Scotland","Scotland","England",4,1,"British Championship","1900","4",5,1
"133","1901-02-23","Glasgow, Scotland","Scotland","Northern Ireland",11,0,"British Championship","1901","2",11,2
"134","1901-03-02","Wrexham, Wales","Wales","Scotland",1,1,"British Championship","1901","3",2,2
"135","1901-03-09","Southampton, England","England","Northern Ireland",3,0,"British Championship","1901","3",3,1
"136","1901-03-18","Newcastle, England","England","Wales",6,0,"British Championship","1901","3",6,1
"137","1901-03-23","Belfast, Ireland","Northern Ireland","Wales",0,1,"British Championship","1901","3",1,2
"138","1901-03-30","London, England","England","Scotland",2,2,"British Championship","1901","3",4,2
"139","1902-02-22","Cardiff, Wales","Wales","Northern Ireland",0,3,"British Championship","1902","2",3,2
"140","1902-03-01","Belfast, Ireland","Northern Ireland","Scotland",1,5,"British Championship","1902","3",6,2
"141","1902-03-03","Wrexham, Wales","Wales","England",0,0,"British Championship","1902","3",0,1
"142","1902-03-15","Greenock, Scotland","Scotland","Wales",5,1,"British Championship","1902","3",6,2
"143","1902-03-22","Belfast, Ireland","Northern Ireland","England",0,1,"British Championship","1902","3",1,1
"144","1902-05-03","Birmingham, England","England","Scotland",2,2,"British Championship","1902","5",4,1
"145","1902-07-20","Montevideo, Uruguay","Uruguay","Argentina",0,6,"Friendly","1902","7",6,2
"146","1902-10-12","Vienna, Austria","Austria","Hungary",5,0,"Friendly","1902","10",5,1
"147","1903-03-02","Portsmouth, England","England","Wales",2,1,"British Championship","1903","3",3,2
"148","1903-03-09","Cardiff, Wales","Wales","Scotland",0,1,"British Championship","1903","3",1,2
"149","1903-03-21","Glasgow, Scotland","Scotland","Northern Ireland",0,2,"British Championship","1903","3",2,1
"150","1903-03-28","Belfast, Ireland","Northern Ireland","Wales",2,0,"British Championship","1903","3",2,1
"151","1903-04-04","Sheffield, England","England","Scotland",1,2,"British Championship","1903","4",3,1
"152","1903-04-05","Budapest, Hungary","Hungary","Czech Republic",2,1,"Friendly","1903","4",3,1
"153","1903-09-13","Buenos Aires, Argentina","Argentina","Uruguay",2,3,"Friendly","1903","9",5,2
"154","1903-10-11","Vienna, Austria","Austria","Hungary",4,2,"Friendly","1903","10",6,2
"155","1904-02-29","Wrexham, Wales","Wales","England",2,2,"British Championship","1904","2",4,2
"156","1904-03-12","Dundee, Scotland","Scotland","Wales",1,1,"British Championship","1904","3",2,2
"157","1904-03-12","Belfast, Ireland","Northern Ireland","England",1,3,"British Championship","1904","3",4,1
"158","1904-03-21","Bangor, Wales","Wales","Northern Ireland",0,1,"British Championship","1904","3",1,2
"159","1904-03-26","Dublin, Ireland","Northern Ireland","Scotland",1,1,"British Championship","1904","3",2,1
"160","1904-04-09","Glasgow, Scotland","Scotland","England",0,1,"British Championship","1904","4",1,1
"161","1904-05-01","Brussels, Belgium","Belgium","France",3,3,"Friendly","1904","5",6,1
"162","1904-06-02","Budapest, Hungary","Hungary","Austria",3,0,"Friendly","1904","6",3,2
"163","1905-02-12","Paris, France","France","Switzerland",1,0,"Friendly","1905","2",1,2
"164","1905-02-25","Middlesbrough, England","England","Northern Ireland",1,1,"British Championship","1905","2",2,1
"165","1905-03-06","Wrexham, Wales","Wales","Scotland",3,1,"British Championship","1905","3",4,2
"166","1905-03-18","Glasgow, Scotland","Scotland","Northern Ireland",4,0,"British Championship","1905","3",4,1
"167","1905-03-27","Liverpool, England","England","Wales",3,1,"British Championship","1905","3",4,1
"168","1905-04-01","London, England","England","Scotland",1,0,"British Championship","1905","4",1,2
"169","1905-04-08","Belfast, Ireland","Northern Ireland","Wales",2,2,"British Championship","1905","4",4,2
"170","1905-04-09","Budapest, Hungary","Hungary","Austria",0,0,"Friendly","1905","4",0,2
"171","1905-04-30","Antwerp, Belgium","Belgium","Netherlands",1,4,"Friendly","1905","4",5,2
"172","1905-05-07","Brussels, Belgium","Belgium","France",7,0,"Friendly","1905","5",7,2
"173","1905-05-14","Rotterdam, Netherlands","Netherlands","Belgium",4,0,"Friendly","1905","5",4,2
"174","1905-08-15","Buenos Aires, Argentina","Argentina","Uruguay",0,0,"Copa Lipton","1905","8",0,1
"175","1906-02-17","Belfast, Ireland","Northern Ireland","England",0,5,"British Championship","1906","2",5,2
"176","1906-03-03","Edinburgh, Scotland","Scotland","Wales",0,2,"British Championship","1906","3",2,2
"177","1906-03-17","Dublin, Ireland","Northern Ireland","Scotland",0,1,"British Championship","1906","3",1,1
"178","1906-03-19","Cardiff, Wales","Wales","England",0,1,"British Championship","1906","3",1,2
"179","1906-04-01","Budapest, Hungary","Hungary","Czechoslovakia",1,1,"Friendly","1906","4",2,2
"180","1906-04-02","Wrexham, Wales","Wales","Northern Ireland",4,4,"British Championship","1906","4",8,1
"181","1906-04-07","Glasgow, Scotland","Scotland","England",2,1,"British Championship","1906","4",3,2
"182","1906-04-22","Saint-Cloud, France","France","Belgium",0,5,"Friendly","1906","4",5,1
"183","1906-04-29","Antwerp, Belgium","Belgium","Netherlands",5,0,"Friendly","1906","4",5,2
"184","1906-05-13","Rotterdam, Netherlands","Netherlands","Belgium",2,3,"Friendly","1906","5",5,1
"185","1906-08-15","Montevideo, Uruguay","Uruguay","Argentina",0,2,"Copa Lipton","1906","8",2,2
"186","1906-10-07","Prague, Bohemia","Czechoslovakia","Hungary",4,4,"Friendly","1906","10",8,1
"187","1906-10-21","Buenos Aires, Argentina","Argentina","Uruguay",2,1,"Copa Newton","1906","10",3,1
"188","1906-11-04","Budapest, Hungary","Hungary","Austria",3,1,"Friendly","1906","11",4,2
"189","1907-02-16","Liverpool, England","England","Northern Ireland",1,0,"British Championship","1907","2",1,1
"190","1907-02-23","Belfast, Ireland","Northern Ireland","Wales",2,3,"British Championship","1907","2",5,2
"191","1907-03-04","Wrexham, Wales","Wales","Scotland",1,0,"British Championship","1907","3",1,1
"192","1907-03-16","Glasgow, Scotland","Scotland","Northern Ireland",3,0,"British Championship","1907","3",3,1
"193","1907-03-18","London, England","England","Wales",1,1,"British Championship","1907","3",2,1
"194","1907-04-06","Newcastle, England","England","Scotland",1,1,"British Championship","1907","4",2,1
"195","1907-04-07","Budapest, Hungary","Hungary","Czechoslovakia",5,2,"Friendly","1907","4",7,1
"196","1907-04-14","Antwerp, Belgium","Belgium","Netherlands",1,3,"Friendly","1907","4",4,2
"197","1907-04-21","Brussels, Belgium","Belgium","France",1,2,"Friendly","1907","4",3,1
"198","1907-05-05","Vienna, Austria","Austria","Hungary",3,1,"Friendly","1907","5",4,2
"199","1907-05-09","Haarlem, Netherlands","Netherlands","Belgium",1,2,"Friendly","1907","5",3,2
"200","1907-10-06","Prague, Bohemia","Czechoslovakia","Hungary",5,3,"Friendly","1907","10",8,2
"201","1907-11-03","Budapest, Hungary","Hungary","Austria",4,1,"Friendly","1907","11",5,1
"202","1908-02-15","Belfast, Ireland","Northern Ireland","England",1,3,"British Championship","1908","2",4,1
"203","1908-03-07","Dundee, Scotland","Scotland","Wales",2,1,"British Championship","1908","3",3,1
"204","1908-03-08","Geneva, Switzerland","Switzerland","France",1,2,"Friendly","1908","3",3,2
"205","1908-03-14","Dublin, Ireland","Northern Ireland","Scotland",0,5,"British Championship","1908","3",5,2
"206","1908-03-16","Wrexham, Wales","Wales","England",1,7,"British Championship","1908","3",8,2
"207","1908-03-29","Antwerp, Belgium","Belgium","Netherlands",1,4,"Friendly","1908","3",5,1
"208","1908-04-04","Glasgow, Scotland","Scotland","England",1,1,"British Championship","1908","4",2,1
"209","1908-04-05","Basel, Switzerland","Switzerland","Germany",5,3,"Friendly","1908","4",8,1
"210","1908-04-05","Budapest, Hungary","Hungary","Czechoslovakia",5,2,"Friendly","1908","4",7,1
"211","1908-04-11","Aberdare, Wales","Wales","Northern Ireland",0,1,"British Championship","1908","4",1,1
"212","1908-04-12","Colombes, France","France","Belgium",1,2,"Friendly","1908","4",3,2
"213","1908-04-26","Rotterdam, Netherlands","Netherlands","Belgium",3,1,"Friendly","1908","4",4,2
"214","1908-05-03","Vienna, Austria","Austria","Hungary",4,0,"Friendly","1908","5",4,2
"215","1908-05-10","Rotterdam, Netherlands","Netherlands","France",4,1,"Friendly","1908","5",5,2
"216","1908-06-06","Vienna, Austria","Austria","England",1,6,"Friendly","1908","6",7,2
"217","1908-06-07","Vienna, Austria","Austria","Germany",3,2,"Friendly","1908","6",5,1
"218","1908-06-08","Vienna, Austria","Austria","England",1,11,"Friendly","1908","6",12,2
"219","1908-06-10","Budapest, Hungary","Hungary","England",0,7,"Friendly","1908","6",7,2
"220","1908-06-13","Prague, Bohemia","Czechoslovakia","England",0,4,"Friendly","1908","6",4,1
"221","1908-07-12","Gothenburg, Sweden","Sweden","Norway",11,3,"Friendly","1908","7",14,1
"222","1908-08-15","Montevideo, Uruguay","Uruguay","Argentina",2,2,"Copa Lipton","1908","8",4,1
"223","1908-09-13","Buenos Aires, Argentina","Argentina","Uruguay",2,1,"Copa Newton","1908","9",3,1
"224","1908-10-04","Buenos Aires, Argentina","Argentina","Uruguay",0,1,"Copa Premio Honor Argentino","1908","10",1,2
"225","1908-10-25","The Hague, Netherlands","Netherlands","Sweden",5,3,"Friendly","1908","10",8,2
"226","1908-10-26","Brussels, Belgium","Belgium","Sweden",2,1,"Friendly","1908","10",3,2
"227","1908-11-01","Budapest, Hungary","Hungary","Austria",5,3,"Friendly","1908","11",8,1
"228","1909-02-13","Bradford, England","England","Northern Ireland",4,0,"British Championship","1909","2",4,2
"229","1909-03-01","Wrexham, Wales","Wales","Scotland",3,2,"British Championship","1909","3",5,2
"230","1909-03-15","Nottingham, England","England","Wales",2,0,"British Championship","1909","3",2,1
"231","1909-03-15","Glasgow, Scotland","Scotland","Northern Ireland",5,0,"British Championship","1909","3",5,2
"232","1909-03-20","Belfast, Ireland","Northern Ireland","Wales",2,3,"British Championship","1909","3",5,2
"233","1909-03-21","Antwerp, Belgium","Belgium","Netherlands",1,4,"Friendly","1909","3",5,1
"234","1909-04-03","London, England","England","Scotland",2,0,"British Championship","1909","4",2,1
"235","1909-04-04","Karlsruhe, Germany","Germany","Switzerland",1,0,"Friendly","1909","4",1,1
"236","1909-04-04","Budapest, Hungary","Hungary","Germany",3,3,"Friendly","1909","4",6,2
"237","1909-04-25","Rotterdam, Netherlands","Netherlands","Belgium",4,1,"Friendly","1909","4",5,1
"238","1909-05-02","Vienna, Austria","Austria","Hungary",3,4,"Friendly","1909","5",7,2
"239","1909-05-09","Brussels, Belgium","Belgium","France",5,2,"Friendly","1909","5",7,1
"240","1909-05-29","Budapest, Hungary","Hungary","England",2,4,"Friendly","1909","5",6,2
"241","1909-05-30","Budapest, Hungary","Hungary","Austria",1,1,"Friendly","1909","5",2,2
"242","1909-05-31","Budapest, Hungary","Hungary","England",2,8,"Friendly","1909","5",10,1
"243","1909-06-01","Vienna, Austria","Austria","England",1,8,"Friendly","1909","6",9,2
"244","1909-08-15","Buenos Aires, Argentina","Argentina","Uruguay",2,1,"Copa Lipton","1909","8",3,1
"245","1909-09-19","Montevideo, Uruguay","Uruguay","Argentina",2,2,"Copa Newton","1909","9",4,2
"246","1909-10-10","Buenos Aires, Argentina","Argentina","Uruguay",3,1,"Copa Premio Honor Argentino","1909","10",4,1
"247","1910-02-12","Belfast, Ireland","Northern Ireland","England",1,1,"British Championship","1910","2",2,2
"248","1910-03-05","Kilmarnock, Scotland","Scotland","Wales",1,0,"British Championship","1910","3",1,1
"249","1910-03-13","Antwerp, Belgium","Belgium","Netherlands",3,2,"Friendly","1910","3",5,1
"250","1910-03-14","Cardiff, Wales","Wales","England",0,1,"British Championship","1910","3",1,1
"251","1910-03-19","Belfast, Ireland","Northern Ireland","Scotland",1,0,"British Championship","1910","3",1,1
"252","1910-04-02","Glasgow, Scotland","Scotland","England",2,0,"British Championship","1910","4",2,2
"253","1910-04-03","Basel, Switzerland","Switzerland","Germany",2,3,"Friendly","1910","4",5,2
"254","1910-04-03","Gentilly, France","France","Belgium",0,4,"Friendly","1910","4",4,2
"255","1910-04-10","Haarlem, Netherlands","Netherlands","Belgium",7,0,"Friendly","1910","4",7,2
"256","1910-04-11","Wrexham, Wales","Wales","Northern Ireland",4,1,"British Championship","1910","4",5,1
"257","1910-04-24","Arnhem, Netherlands","Netherlands","Germany",4,2,"Friendly","1910","4",6,2
"258","1910-05-01","Vienna, Austria","Austria","Hungary",2,1,"Friendly","1910","5",3,1
"259","1910-05-15","Milan, Italy","Italy","France",6,2,"Friendly","1910","5",8,2
"260","1910-05-16","Duisburg, Germany","Germany","Belgium",0,3,"Friendly","1910","5",3,2
"261","1910-05-26","Budapest, Hungary","Hungary","Italy",6,1,"Friendly","1910","5",7,1
"262","1910-05-27","Buenos Aires, Argentina","Argentina","Chile",3,1,"Friendly","1910","5",4,1
"263","1910-05-29","Buenos Aires, Argentina","Chile","Uruguay",0,3,"Friendly","1910","5",3,1
"264","1910-06-05","Buenos Aires, Argentina","Argentina","Chile",5,1,"Friendly","1910","6",6,1
"265","1910-06-12","Buenos Aires, Argentina","Argentina","Uruguay",4,1,"Friendly","1910","6",5,1
"266","1910-08-15","Montevideo, Uruguay","Uruguay","Argentina",3,1,"Copa Lipton","1910","8",4,1
"267","1910-09-11","Kristiania, Norway","Norway","Sweden",0,4,"Friendly","1910","9",4,1
"268","1910-09-11","Viña del Mar, Chile","Chile","Argentina",0,3,"Friendly","1910","9",3,2
"269","1910-10-16","Kleve, Germany","Germany","Netherlands",1,2,"Friendly","1910","10",3,1
"270","1910-11-06","Budapest, Hungary","Hungary","Austria",3,0,"Friendly","1910","11",3,1
"271","1910-11-13","Buenos Aires, Argentina","Argentina","Uruguay",1,1,"Copa Premio Honor Argentino","1910","11",2,1
"272","1910-11-27","Buenos Aires, Argentina","Argentina","Uruguay",2,6,"Copa Premio Honor Argentino","1910","11",8,2
"273","1911-01-01","Maisons-Alfort, France","France","Hungary",0,3,"Friendly","1911","1",3,2
"274","1911-01-06","Milan, Italy","Italy","Hungary",0,1,"Friendly","1911","1",1,2
"275","1911-01-08","Zürich, Switzerland","Switzerland","Hungary",2,0,"Friendly","1911","1",2,1
"276","1911-01-28","Belfast, Ireland","Northern Ireland","Wales",1,2,"British Championship","1911","1",3,2
"277","1911-02-11","Derby, England","England","Northern Ireland",2,1,"British Championship","1911","2",3,2
"278","1911-03-06","Cardiff, Wales","Wales","Scotland",2,2,"British Championship","1911","3",4,1
"279","1911-03-13","London, England","England","Wales",3,0,"British Championship","1911","3",3,1
"280","1911-03-18","Glasgow, Scotland","Scotland","Northern Ireland",2,0,"British Championship","1911","3",2,2
"281","1911-03-19","Antwerp, Belgium","Belgium","Netherlands",1,5,"Friendly","1911","3",6,1
"282","1911-03-26","Stuttgart, Germany","Germany","Switzerland",6,2,"Friendly","1911","3",8,2
"283","1911-04-01","Liverpool, England","England","Scotland",1,1,"British Championship","1911","4",2,1
"284","1911-04-02","Dordrecht, Netherlands","Netherlands","Belgium",3,1,"Friendly","1911","4",4,1
"285","1911-04-09","Saint-Ouen, France","France","Italy",2,2,"Friendly","1911","4",4,2
"286","1911-04-23","Geneva, Switzerland","Switzerland","France",5,2,"Friendly","1911","4",7,2
"287","1911-04-23","Liège, Belgium","Belgium","Germany",2,1,"Friendly","1911","4",3,2
"288","1911-04-30","Uccle, Belgium","Belgium","France",7,1,"Friendly","1911","4",8,1
